Run,Months,Total_Invested_USD,Final_Portfolio_USD,Profit_USD,Multiple,CAGR,Annual_Vol,Sharpe,Sortino,Max_Drawdown,Calmar,Win_Rate,Avg_Monthly_Turnover,Max_Underwater_Months,Final_NAV_Multiple,Strategy,Mode,Display
K=3 / K=4 / K=5 (same),437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,buy_and_hold,baseline,B0 — SPXT buy & hold
K=4 hard,437,4370000.0,29862477.86231306,25492477.86231306,6.833518961627702,0.0903360454658062,0.12009524208172122,0.7522033670937207,1.3000743337582312,-0.42595160979242674,0.21208053541534555,0.6613272311212814,0.1672577379689759,80,23.325097222162626,crisis_cap_inverse_vol,hard,K=4 hard | crisis cap inverse vol (hard)
K=5 hard,437,4370000.0,31296514.84469345,26926514.84469345,7.161673877504222,0.09225600262494349,0.10676982205632736,0.8640644036689789,1.5483573895169986,-0.31683699357998585,0.2911781278522117,0.6590389016018307,0.08841539805575956,64,24.868429563697813,crisis_cap_inverse_vol,hard,K=5 hard | crisis cap inverse vol (hard)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,crisis_cap_inverse_vol,soft,B0 — SPXT B&H | crisis cap inverse vol (soft)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,crisis_cap_inverse_vol,soft,B1 — EW3 B&H | crisis cap inverse vol (soft)
K=3 soft,437,4370000.0,16064808.591806669,11694808.591806669,3.6761575724958053,0.06698433844550866,0.10514204655859033,0.6370842173799773,1.0895356109613303,-0.37523410192094064,0.1785134616032895,0.6567505720823799,0.1112595371803705,208,10.602838092231464,crisis_cap_inverse_vol,soft,K=3 soft | crisis cap inverse vol (soft)
K=4 soft,437,4370000.0,30441562.258277837,26071562.258277837,6.966032553381656,0.09075668010850513,0.11970693038818057,0.7581572747225511,1.311854841631596,-0.42798700246998933,0.212054757702295,0.6613272311212814,0.1526973557249852,114,23.655039708240494,crisis_cap_inverse_vol,soft,K=4 soft | crisis cap inverse vol (soft)
K=5 soft,437,4370000.0,29057662.148843326,24687662.148843326,6.6493506061426375,0.0885797898013525,0.10668774434079827,0.8302714650934734,1.45555556685917,-0.37786475906640193,0.2344219397972131,0.6590389016018307,0.1160437469222401,73,21.995207326918024,crisis_cap_inverse_vol,soft,K=5 soft | crisis cap inverse vol (soft)
B0 — SPXT B&H,437,4370000.0,50767365.26791425,46397365.26791425,11.61724605673095,0.11170766228882512,0.14726321348852828,0.7585578206707209,1.3119123868685127,-0.5094876777779151,0.2192548851741186,0.6613272311212814,0.002288329519450801,73,47.29598918125296,bond_floor_tactical,hard,B0 — SPXT B&H | bond floor tactical (hard)
B1 — EW3 B&H,437,4370000.0,16947973.111061007,12577973.111061007,3.878254716489933,0.07051687399269646,0.07828330335307919,0.9007907302358716,1.5234827946686567,-0.33132289355604483,0.2128342935673662,0.6636155606407322,0.002288329519450801,39,11.95906572753724,bond_floor_tactical,hard,B1 — EW3 B&H | bond floor tactical (hard)
K=3 hard,437,4370000.0,17985364.124029525,13615364.124029525,4.115643964308815,0.07591445947567443,0.08339091555813026,0.9103444777837446,1.668992633728323,-0.21615760149255436,0.35119958285755376,0.6407322654462243,0.18901601830663614,37,14.362813321863328,bond_floor_tactical,hard,K=3 hard | bond floor tactical (hard)
