,Prob_Regime0,Prob_Regime1,Prob_Regime2,Regime_Candidate,Regime,Regime_Name
2007-08-31,0.9922242313812005,0.0007808224274838809,0.006994946191315516,0,0,Defensive
2007-09-30,0.9961121156906002,0.00039041121374194045,0.003497473095657758,0,0,Defensive
2007-10-31,0.9980560578453002,0.00019520560687097028,0.0017487365478288793,0,0,Defensive
2007-11-30,0.9990280289226501,9.760280343548514e-05,0.0008743682739144397,0,0,Defensive
2007-12-31,0.999513907731341,4.8801401717742536e-05,0.00043729086694123615,0,0,Defensive
2008-01-31,0.9997569938894142,2.4400700858871275e-05,0.00021860540972695833,0,0,Defensive
2008-02-29,0.9998784813825787,1.2200350429435632e-05,0.00010931826699173617,0,0,Defensive
2008-03-31,0.19993924652708764,0.8000061001752145,5.4653297697723006e-05,1,1,Inflation
2008-04-30,0.8999696232635438,0.10000305008760735,2.732664884886151e-05,0,0,Defensive
2008-05-31,0.1499848116317719,0.8500015250438037,1.3663324424430755e-05,1,1,Inflation
2008-06-30,0.07499240581588595,0.9250007625219019,6.8316622122153775e-06,1,1,Inflation
2008-07-31,0.03749620290794298,0.9625003812609509,3.4158311061076887e-06,1,1,Inflation
2008-08-31,0.01874810145397149,0.9812501906304755,1.7079155530538444e-06,1,1,Inflation
2008-09-30,0.009374050726985744,0.9906250953152378,8.539577765269222e-07,1,1,Inflation
2008-10-31,0.8046870253634929,0.19531254765761888,4.269788882634611e-07,0,0,Defensive
2008-11-30,0.9023435126817464,0.09765627382880944,2.1348944413173314e-07,0,0,Defensive
2008-12-31,0.9511717563408733,0.04882813691440472,1.0674472206586559e-07,0,0,Defensive
2009-01-31,0.9755858781704366,0.02441406845720236,5.3372361032932796e-08,0,0,Defensive
2009-02-28,0.9877929390852184,0.012207034228601182,2.66861805164664e-08,0,0,Defensive
2009-03-31,0.9938964695426091,0.00610351711430059,1.3343090258233199e-08,0,0,Defensive
2009-04-30,0.9969482347713046,0.003051758557150295,6.6715451291165994e-09,0,0,Defensive
2009-05-31,0.9984741173856523,0.0015258792785751475,3.3357725645582997e-09,0,0,Defensive
2009-06-30,0.9992370586928262,0.0007629396392875739,1.66788628227915e-09,0,0,Defensive
2009-07-31,0.999618529346413,0.0003814698196437869,8.339431411395749e-10,0,0,Defensive
2009-08-31,0.9998089079014426,0.0001907349098218935,3.5718873546373937e-07,0,0,Defensive
2009-09-30,0.870606806120825,9.536745491094672e-05,0.12929782642426424,0,0,Defensive
2009-10-31,0.9837900711676529,4.768372745547336e-05,0.01616224510489164,0,0,Defensive
2009-11-30,0.9918950355838264,2.384186372773668e-05,0.008081122552445818,0,0,Defensive
2009-12-31,0.9959475177919133,1.192093186386834e-05,0.004040561276222909,0,0,Defensive
2010-01-31,0.9979737588959562,5.960465931957095e-06,0.0020202806381119346,0,0,Defensive
2010-02-28,0.9989868794479783,2.980232965969951e-06,0.0010101403190557873,0,0,Defensive
2010-03-31,0.9994934397239892,1.4901164829849754e-06,0.0005050701595278941,0,0,Defensive
2010-04-30,0.9997467198619946,7.450582414924877e-07,0.0002525350797639469,0,0,Defensive
2010-05-31,0.9998733599309972,3.7252912074624386e-07,0.00012626753988197344,0,0,Defensive
2010-06-30,0.8471115557554649,1.8626456037312217e-07,0.15288825797997477,0,0,Defensive
2010-07-31,0.9808651993322146,9.313228018656103e-08,0.01913470753550517,0,0,Defensive
2010-08-31,0.990432599709067,4.656614009328047e-08,0.009567353724792813,0,0,Defensive
2010-09-30,0.9952076202094974,2.3283070046640225e-08,0.004792356507432517,0,0,Defensive
2010-10-31,0.9976069357708435,1.4084284137456161e-07,0.002392923386315083,0,0,Defensive
2010-11-30,0.9988035163359112,2.1970930805565238e-08,0.0011964616931578608,0,0,Defensive
2010-12-31,0.9993580780494851,4.300786122228073e-05,0.0005989140892927292,0,0,Defensive
2011-01-31,0.9996954190691691,5.380102202311138e-06,0.00029920082862864515,0,0,Defensive
2011-02-28,0.9327827336809638,2.690051101155567e-06,0.0672145762679349,0,0,Defensive
2011-03-31,0.9915407327855897,1.3450255505777844e-06,0.008457922188859738,0,0,Defensive
