,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Regime_Candidate,Regime,Regime_Name
2000-03-31,6.7769873610704e-22,6.313747401644479e-15,0.9999994006338093,5.993661843434994e-07,2,2,Steady State
2000-04-30,3.3884936805351958e-22,3.1568737008222357e-15,0.9999999250792239,7.492077304384004e-08,2,2,Steady State
2000-05-31,1.6942468402675976e-22,1.5784368504111177e-15,0.9999999625396119,3.746038652192002e-08,2,2,Steady State
2000-06-30,8.471234201337987e-23,7.892184252055587e-16,0.9999999812698059,1.8730193260960007e-08,2,2,Steady State
2000-07-31,4.2356171006689935e-23,3.9460921260277937e-16,0.999999990634903,9.365096630480003e-09,2,2,Steady State
2000-08-31,2.1178085503344968e-23,1.9730460630138968e-16,0.9999999953174514,4.682548315240002e-09,2,2,Steady State
2000-09-30,1.0589042751672484e-23,9.865230315069484e-17,0.9999999976587257,2.341274157620001e-09,2,2,Steady State
2000-10-31,5.2945213758362426e-24,4.932615157534743e-17,0.999999998829363,1.1706370788100006e-09,2,2,Steady State
2000-11-30,2.6472606879181345e-24,2.4663075787673837e-17,0.20000188939932412,0.7999981106006759,3,3,Walking on Ice
2000-12-31,1.3236303439590632e-24,1.2331537893836881e-17,0.9000002359539448,0.09999976404605516,2,2,Steady State
2001-01-31,6.618151719795306e-25,6.165768946918431e-18,0.9500001179775263,0.04999988202247382,2,2,Steady State
2001-02-28,3.309075859897652e-25,3.0828844734592146e-18,0.9750000589887631,0.0249999410112369,2,2,Steady State
2001-03-31,1.6545379299488251e-25,2.9433892007743007e-05,0.9874705956023739,0.012499970505618444,2,2,Steady State
2001-04-30,8.272689649744128e-26,3.6792365009684544e-06,0.9937463355106898,0.006249985252809224,2,2,Steady State
2001-05-31,4.136344824872064e-26,1.8396182504842272e-06,0.9968731677553448,0.0031249926264046157,2,2,Steady State
2001-06-30,2.0681724124360323e-26,9.198091252421137e-07,0.9984365838776725,0.0015624963132023066,2,2,Steady State
2001-07-31,1.034086206218016e-26,4.599045626210568e-07,0.9992182919388363,0.0007812481566011532,2,2,Steady State
2001-08-31,5.17043103109008e-27,2.299522813105284e-07,0.9996091459694181,0.0003906240783005766,2,2,Steady State
2001-09-30,2.5852155155450403e-27,1.1497614065526421e-07,0.9998045729847092,0.00019531203915028832,2,2,Steady State
2001-10-31,1.2926077577725214e-27,5.7488070327632166e-08,0.9999022731729224,9.766933900738984e-05,2,2,Steady State
2001-11-30,6.463038788862593e-28,2.8744035163816017e-08,0.9743111799311983,0.025688791324766577,2,2,Steady State
2001-12-31,3.2315193944312977e-28,1.4372017581908015e-08,0.9955275285785279,0.004472457049454468,2,2,Steady State
2002-01-31,1.6157596972156489e-28,7.1860087909540075e-09,0.9982299069135899,0.0017700859004013486,2,2,Steady State
2002-02-28,8.078798486078248e-29,3.5930043954770054e-09,0.9991149534578688,0.0008850429491266432,2,2,Steady State
2002-03-31,4.039399243039129e-29,1.796502197738505e-09,0.9995574767152164,0.00044252148828143213,2,2,Steady State
2002-04-30,2.0196996215195628e-29,8.982510988692517e-10,0.9997787383627524,0.00022126073899642463,2,2,Steady State
2002-05-31,1.0098498107597814e-29,4.4912554943462583e-10,0.9998893691813763,0.00011063036949821232,2,2,Steady State
2002-06-30,5.049249053798893e-30,2.245627747173123e-10,0.19994468487193456,0.8000553149035028,3,3,Walking on Ice
2002-07-31,2.524624526899452e-30,1.122813873586564e-10,0.8999723423304995,0.100027657557219,2,2,Steady State
2002-08-31,1.2623122634497262e-30,5.614069367932821e-11,0.9499861711652497,0.050013828778609506,2,2,Steady State
2002-09-30,6.311561317248633e-31,2.807034683966411e-11,0.974993085582625,0.02500691438930476,2,2,Steady State
2002-10-31,0.002307983950663149,1.4035173419832046e-11,0.9851885588406493,0.012503457194652371,2,2,Steady State
2002-11-30,0.8002884979938327,7.017586709916026e-12,0.19345977340182338,0.006251728597326188,0,0,Crisis
2002-12-31,0.10014424899691646,3.508793354958014e-12,0.09672988670091172,0.8031258642986631,3,3,Walking on Ice
2003-01-31,0.05007212449845823,1.754396677479007e-12,0.04836494335045586,0.9015629321493315,3,3,Walking on Ice
2003-02-28,0.025036062249229114,8.771983387395035e-13,0.02418247167522793,0.9507814660746657,3,3,Walking on Ice
2003-03-31,0.012518031124614557,4.3859916936975174e-13,0.812091235837614,0.17539073303733288,2,2,Steady State
2003-04-30,0.006259015562307279,2.1929958468487587e-13,0.10604561791880698,0.8876953665186664,3,3,Walking on Ice
2003-05-31,0.0031295077811536436,1.0964979234243809e-13,0.05306937628597964,0.9438011159327571,3,3,Walking on Ice
2003-06-30,0.0015647538905768199,5.4824896171218974e-14,0.026517225395523758,0.9719180207138446,3,3,Walking on Ice
2003-07-31,0.0007823769452884104,2.7412448085609503e-14,0.8132564438875028,0.18596117916718136,2,2,Steady State
2003-08-31,0.000391188472644205,1.4542193286233836e-11,0.9066202417479243,0.09298856976488927,2,2,Steady State
2003-09-30,0.00019559423632210246,1.822913994795281e-12,0.15331341843633997,0.846490987325515,3,3,Walking on Ice
2003-10-31,9.779711816105125e-05,9.114569973976408e-13,0.7593829618987439,0.24051924098218352,2,2,Steady State
2003-11-30,4.889855908052562e-05,4.557284986988203e-13,0.12366913619415672,0.8762819652463071,3,3,Walking on Ice
2003-12-31,2.444927954026281e-05,2.2786424934941016e-13,0.7990550205175322,0.2009205302026998,2,2,Steady State
