,Prob_Regime0,Prob_Regime1,Prob_Regime2,Prob_Regime3,Prob_Regime4,Regime_Candidate,Regime,Regime_Name
1994-06-30,0.009225139877338978,0.1649203608522702,0.1080736244653538,0.021337078823187357,0.6964437959818498,4,4,Bull Market
1994-07-31,0.007380069556193713,0.11411316275688768,0.5501942414597585,0.01706973657862732,0.3112427896485328,2,4,Bull Market
1994-08-31,0.005904055644952708,0.09129053020551015,0.6402973993389652,0.013664316210385543,0.24884369860018637,2,2,Steady State
1994-09-30,0.004723269468703732,0.5298728771080834,0.24824279844648187,0.010926577629125507,0.2062344773476055,1,2,Steady State
1994-10-31,0.0037786013777367125,0.16397183710362287,0.5429786798135336,0.00874134966360204,0.28052953204150477,2,2,Steady State
1994-11-30,0.0031852923495364394,0.595015057104606,0.23844007221531863,0.006993029912089299,0.15636654841844969,1,2,Steady State
1994-12-31,0.002455827483169668,0.2121044537857146,0.19102739508320113,0.005594423941494209,0.5888178997064204,4,2,Steady State
1995-01-31,0.0020088981980861957,0.1696846404008121,0.15273294903348086,0.00447553914648155,0.6710979732211393,4,4,Bull Market
1995-02-28,0.0015819496785449336,0.13574709902452967,0.5860706983429135,0.003580609204753632,0.2730196437492582,2,4,Bull Market
1995-03-31,0.0012655597428357082,0.10859767921962366,0.668875968306048,0.0028813972703847376,0.21837939546110788,2,2,Steady State
1995-04-30,0.001012447794268509,0.08687814337569891,0.7350045960865067,0.002295497894156366,0.1748093148493695,2,2,Steady State
1995-05-31,0.0008099582354148309,0.06950251470055913,0.7880607245507637,0.0018372340058525492,0.1397895685074097,2,2,Steady State
1995-06-30,0.0006479665883996008,0.055602011761862115,0.7431064071547312,0.0014692981534052472,0.19917431634160188,2,2,Steady State
1995-07-31,0.0005183732707318232,0.044481609408684716,0.8441811225430477,0.0011756132857111152,0.10964328149182481,2,2,Steady State
1995-08-31,0.00041476668419159526,0.03563369392090845,0.4113451828740458,0.0009403894242230727,0.5516659670966311,4,2,Steady State
1995-09-30,0.00033177461921613644,0.02847941356774913,0.7930737371485005,0.0007524336374973468,0.17736264102703697,2,2,Steady State
1995-10-31,0.0002654848446351102,0.025608954103593873,0.3704603605314039,0.0006018774403792856,0.6030633230799878,4,2,Steady State
1995-11-30,0.00021235080802442513,0.018879594882357506,0.760360641174975,0.0004815086985012499,0.22006590443614166,2,2,Steady State
1995-12-31,0.00016988064642045297,0.01510367590588615,0.7814278146660789,0.0003856585793092827,0.20291297020230536,2,2,Steady State
1996-01-31,0.00013590452696298888,0.012082940724708835,0.8402608637439672,0.0003082689305647948,0.1472120220737962,2,2,Steady State
1996-02-29,0.00010872512625233342,0.009666453132419324,0.4083244601068175,0.0002466144604707354,0.5816537471740401,4,2,Steady State
1996-03-31,8.697932669233511e-05,0.0077331129556149625,0.3266661031065137,0.0001972915672482493,0.6653165130439308,4,4,Bull Market
1996-04-30,6.958355708605922e-05,0.006186486005927372,0.4940622656727739,0.00015783894741198845,0.4995238258168009,4,4,Bull Market
1996-05-31,5.566700762984629e-05,0.00494918882549434,0.5221023197788376,0.00012626832478563777,0.47276655606325263,2,4,Bull Market
1996-06-30,4.4533593358776306e-05,0.0039626071957875285,0.27016468956063755,0.00010101442868195032,0.7257271552215342,4,4,Bull Market
1996-07-31,0.0022439953724154834,0.4649598642046753,0.21613146751351062,8.081154286004419e-05,0.31658386136653865,1,4,Bull Market
1996-08-31,0.000538711421214733,0.10922437712655512,0.6090128389477355,6.464984724133077e-05,0.2811594226572533,2,4,Bull Market
1996-09-30,0.00043096874520536616,0.08737950170124391,0.7030782479578888,5.3519241203145585e-05,0.2090577623544588,2,2,Steady State
1996-10-31,0.00034477499687473077,0.06990360562145041,0.3401121935084692,4.1791489757510975e-05,0.5895976343834481,4,2,Steady State
1996-11-30,0.00027581999768863435,0.055922882073108166,0.24871828414868966,0.46370830308018857,0.2313747107003249,3,2,Steady State
1996-12-31,0.00022065613576545336,0.04634084846515628,0.1987896395201427,0.10715163026332708,0.6474972256156086,4,2,Steady State
1997-01-31,0.0001765248730927772,0.03616088717522674,0.6229781330610701,0.08577482523235465,0.2549096296582556,2,2,Steady State
