iteration,seed,active_regimes,block_size,max_components,weight_threshold,alpha_prior,master_seed
188,1154233096,6,120,10,0.05,0.1,42
189,723346046,6,120,10,0.05,0.1,42
190,2114325621,3,120,10,0.05,0.1,42
191,1495824453,5,120,10,0.05,0.1,42
192,1048671157,5,120,10,0.05,0.1,42
193,409819022,6,120,10,0.05,0.1,42
194,557006912,2,120,10,0.05,0.1,42
195,1907070694,4,120,10,0.05,0.1,42
196,3775625391,5,120,10,0.05,0.1,42
197,3790864791,5,120,10,0.05,0.1,42
198,2978035378,7,120,10,0.05,0.1,42
199,3249809625,3,120,10,0.05,0.1,42
200,3123672891,4,120,10,0.05,0.1,42
201,2412906801,2,120,10,0.05,0.1,42
202,1193644310,5,120,10,0.05,0.1,42
203,1786117560,4,120,10,0.05,0.1,42
204,501008984,5,120,10,0.05,0.1,42
205,802024622,4,120,10,0.05,0.1,42
206,2320348222,4,120,10,0.05,0.1,42
207,420313312,7,120,10,0.05,0.1,42
208,2769233403,5,120,10,0.05,0.1,42
209,1471749722,7,120,10,0.05,0.1,42
210,2659757051,5,120,10,0.05,0.1,42
211,724153572,4,120,10,0.05,0.1,42
212,1499485956,3,120,10,0.05,0.1,42
213,4135189530,8,120,10,0.05,0.1,42
214,4101211968,7,120,10,0.05,0.1,42
215,4100414858,6,120,10,0.05,0.1,42
216,143062354,5,120,10,0.05,0.1,42
217,3515646319,4,120,10,0.05,0.1,42
218,653282499,6,120,10,0.05,0.1,42
219,1495673195,6,120,10,0.05,0.1,42
220,1113697829,4,120,10,0.05,0.1,42
221,2593676283,4,120,10,0.05,0.1,42
222,2376358103,4,120,10,0.05,0.1,42
223,3797673014,5,120,10,0.05,0.1,42
224,4259529815,4,120,10,0.05,0.1,42
225,3467807057,6,120,10,0.05,0.1,42
226,3705189035,7,120,10,0.05,0.1,42
227,3492161643,6,120,10,0.05,0.1,42
228,4014739816,3,120,10,0.05,0.1,42
229,916488899,3,120,10,0.05,0.1,42
230,3399360685,3,120,10,0.05,0.1,42
231,1667509513,5,120,10,0.05,0.1,42
232,2519007152,5,120,10,0.05,0.1,42
233,2253191343,3,120,10,0.05,0.1,42
234,3188563262,5,120,10,0.05,0.1,42
235,975722213,4,120,10,0.05,0.1,42
236,3273180956,3,120,10,0.05,0.1,42
237,1857668570,3,120,10,0.05,0.1,42
238,2994795507,7,120,10,0.05,0.1,42
239,1902016435,3,120,10,0.05,0.1,42
240,1665199668,5,120,10,0.05,0.1,42
241,1852288900,6,120,10,0.05,0.1,42
242,1781229656,8,120,10,0.05,0.1,42
243,2097842631,5,120,10,0.05,0.1,42
244,840016117,2,120,10,0.05,0.1,42
245,1269782988,6,120,10,0.05,0.1,42
246,2756612733,4,120,10,0.05,0.1,42
247,3408168393,5,120,10,0.05,0.1,42
248,3341827428,5,120,10,0.05,0.1,42
249,4006028836,4,120,10,0.05,0.1,42
250,368648906,3,120,10,0.05,0.1,42
251,3546469935,4,120,10,0.05,0.1,42
252,548995197,3,120,10,0.05,0.1,42
253,2170299455,6,120,10,0.05,0.1,42
254,887895711,6,120,10,0.05,0.1,42
255,601490615,3,120,10,0.05,0.1,42
256,3297059505,6,120,10,0.05,0.1,42
257,3527863717,4,120,10,0.05,0.1,42
258,293593100,3,120,10,0.05,0.1,42
259,35721068,4,120,10,0.05,0.1,42
260,229011202,4,120,10,0.05,0.1,42
261,515351252,4,120,10,0.05,0.1,42
262,2831466487,6,120,10,0.05,0.1,42
263,136264562,5,120,10,0.05,0.1,42
264,150671087,6,120,10,0.05,0.1,42
265,2697527850,7,120,10,0.05,0.1,42
266,828659543,4,120,10,0.05,0.1,42
267,4194551758,7,120,10,0.05,0.1,42
268,3252164956,4,120,10,0.05,0.1,42
269,660800512,5,120,10,0.05,0.1,42
270,1724655807,6,120,10,0.05,0.1,42
271,1382513034,5,120,10,0.05,0.1,42
272,219075834,6,120,10,0.05,0.1,42
273,454206193,3,120,10,0.05,0.1,42
274,4157649571,6,120,10,0.05,0.1,42
275,4102995267,7,120,10,0.05,0.1,42
276,2098369142,6,120,10,0.05,0.1,42
277,2195818626,5,120,10,0.05,0.1,42
278,3948783726,4,120,10,0.05,0.1,42
279,2266690807,5,120,10,0.05,0.1,42
280,245168200,5,120,10,0.05,0.1,42
281,2429698097,6,120,10,0.05,0.1,42
282,2600591666,6,120,10,0.05,0.1,42
283,371199085,7,120,10,0.05,0.1,42
284,123425311,7,120,10,0.05,0.1,42
285,4090920629,3,120,10,0.05,0.1,42
286,2673211942,4,120,10,0.05,0.1,42
287,354490700,5,120,10,0.05,0.1,42
288,255368588,2,120,10,0.05,0.1,42
289,438458817,5,120,10,0.05,0.1,42
290,41876493,7,120,10,0.05,0.1,42
291,2061752494,7,120,10,0.05,0.1,42
292,1716167022,7,120,10,0.05,0.1,42
293,3577147733,5,120,10,0.05,0.1,42
294,681185961,5,120,10,0.05,0.1,42
295,3979360605,5,120,10,0.05,0.1,42
296,966220547,5,120,10,0.05,0.1,42
297,1416908439,4,120,10,0.05,0.1,42
298,2834701253,6,120,10,0.05,0.1,42
299,4042416703,4,120,10,0.05,0.1,42
300,502509815,2,120,10,0.05,0.1,42
301,3500276674,3,120,10,0.05,0.1,42
302,2685383036,5,120,10,0.05,0.1,42
303,50007574,5,120,10,0.05,0.1,42
304,1751258646,5,120,10,0.05,0.1,42
305,2670157508,2,120,10,0.05,0.1,42
306,3173887838,2,120,10,0.05,0.1,42
307,2096752180,4,120,10,0.05,0.1,42
308,2760136544,6,120,10,0.05,0.1,42
309,1459788129,5,120,10,0.05,0.1,42
310,2829299344,5,120,10,0.05,0.1,42
311,1229869475,4,120,10,0.05,0.1,42
312,2428429290,8,120,10,0.05,0.1,42
313,630505847,4,120,10,0.05,0.1,42
314,3857294042,7,120,10,0.05,0.1,42
315,3409764465,4,120,10,0.05,0.1,42
316,1189728045,4,120,10,0.05,0.1,42
317,555983936,6,120,10,0.05,0.1,42
318,897738737,6,120,10,0.05,0.1,42
319,3397991396,7,120,10,0.05,0.1,42
320,1632099955,6,120,10,0.05,0.1,42
321,3701335934,4,120,10,0.05,0.1,42
322,2039216376,2,120,10,0.05,0.1,42
323,2058014183,5,120,10,0.05,0.1,42
324,2822521752,5,120,10,0.05,0.1,42
325,2239043862,4,120,10,0.05,0.1,42
326,159674039,4,120,10,0.05,0.1,42
327,1382017842,5,120,10,0.05,0.1,42
328,2992115020,5,120,10,0.05,0.1,42
329,1924522070,4,120,10,0.05,0.1,42
330,3805091070,3,120,10,0.05,0.1,42
331,766298721,4,120,10,0.05,0.1,42
332,1492277622,4,120,10,0.05,0.1,42
333,954062782,3,120,10,0.05,0.1,42
334,3500265170,2,120,10,0.05,0.1,42
335,1010896300,7,120,10,0.05,0.1,42
336,2410267997,7,120,10,0.05,0.1,42
337,1350829415,3,120,10,0.05,0.1,42
338,1694707824,7,120,10,0.05,0.1,42
339,690636519,6,120,10,0.05,0.1,42
340,1854887659,4,120,10,0.05,0.1,42
341,2616511895,4,120,10,0.05,0.1,42
342,3102010327,7,120,10,0.05,0.1,42
343,4131557295,4,120,10,0.05,0.1,42
344,985994513,5,120,10,0.05,0.1,42
345,1186929244,5,120,10,0.05,0.1,42
346,43419813,4,120,10,0.05,0.1,42
347,4261232048,6,120,10,0.05,0.1,42
348,3297432270,3,120,10,0.05,0.1,42
349,1861608342,5,120,10,0.05,0.1,42
350,2363505043,5,120,10,0.05,0.1,42
351,4208864435,2,120,10,0.05,0.1,42
352,1117514031,5,120,10,0.05,0.1,42
353,2088259483,5,120,10,0.05,0.1,42
354,2673193254,4,120,10,0.05,0.1,42
355,1551832114,7,120,10,0.05,0.1,42
356,3974642892,7,120,10,0.05,0.1,42
357,510107140,3,120,10,0.05,0.1,42
358,2878824868,6,120,10,0.05,0.1,42
359,3460485167,7,120,10,0.05,0.1,42
360,1217624839,5,120,10,0.05,0.1,42
361,3138859508,5,120,10,0.05,0.1,42
362,3143628908,2,120,10,0.05,0.1,42
363,291581356,4,120,10,0.05,0.1,42
364,1945167348,3,120,10,0.05,0.1,42
365,590627927,4,120,10,0.05,0.1,42
366,3257525082,5,120,10,0.05,0.1,42
367,3926572263,4,120,10,0.05,0.1,42
368,4096058192,5,120,10,0.05,0.1,42
369,3113383025,5,120,10,0.05,0.1,42
370,416127678,6,120,10,0.05,0.1,42
371,156028289,7,120,10,0.05,0.1,42
372,1455548965,4,120,10,0.05,0.1,42
373,2307475434,5,120,10,0.05,0.1,42
374,1927242988,4,120,10,0.05,0.1,42
375,3975344671,3,120,10,0.05,0.1,42
376,1065571287,5,120,10,0.05,0.1,42
377,3378875782,6,120,10,0.05,0.1,42
378,3628044044,6,120,10,0.05,0.1,42
379,1004859049,3,120,10,0.05,0.1,42
380,1278756604,5,120,10,0.05,0.1,42
381,707590991,3,120,10,0.05,0.1,42
382,3624352372,8,120,10,0.05,0.1,42
383,3852407538,2,120,10,0.05,0.1,42
384,362433966,7,120,10,0.05,0.1,42
385,135144429,6,120,10,0.05,0.1,42
386,2166943835,4,120,10,0.05,0.1,42
387,2130387894,6,120,10,0.05,0.1,42
388,3535971942,4,120,10,0.05,0.1,42
389,179397330,4,120,10,0.05,0.1,42
390,3523683636,6,120,10,0.05,0.1,42
391,1576951443,3,120,10,0.05,0.1,42
392,2510915005,5,120,10,0.05,0.1,42
393,2265123296,4,120,10,0.05,0.1,42
394,1413665393,5,120,10,0.05,0.1,42
395,3480666811,5,120,10,0.05,0.1,42
396,1606415675,5,120,10,0.05,0.1,42
397,2197253524,5,120,10,0.05,0.1,42
398,1168796633,7,120,10,0.05,0.1,42
399,836160059,7,120,10,0.05,0.1,42
400,1342256117,8,120,10,0.05,0.1,42
401,95727703,4,120,10,0.05,0.1,42
402,616767920,5,120,10,0.05,0.1,42
403,268569039,2,120,10,0.05,0.1,42
404,3665386269,6,120,10,0.05,0.1,42
405,2012660117,6,120,10,0.05,0.1,42
406,3217988861,4,120,10,0.05,0.1,42
407,3033265958,4,120,10,0.05,0.1,42
408,1205006086,4,120,10,0.05,0.1,42
409,1282470035,6,120,10,0.05,0.1,42
410,3301400308,6,120,10,0.05,0.1,42
411,2611343848,7,120,10,0.05,0.1,42
412,2090763226,6,120,10,0.05,0.1,42
413,1276970366,6,120,10,0.05,0.1,42
414,3132227522,5,120,10,0.05,0.1,42
415,2315802213,6,120,10,0.05,0.1,42
416,3343522814,5,120,10,0.05,0.1,42
417,157763204,6,120,10,0.05,0.1,42
418,888244866,3,120,10,0.05,0.1,42
419,1805195732,3,120,10,0.05,0.1,42
420,3522339030,4,120,10,0.05,0.1,42
421,4269547039,5,120,10,0.05,0.1,42
422,1441353690,5,120,10,0.05,0.1,42
423,1361179980,2,120,10,0.05,0.1,42
424,4122056997,8,120,10,0.05,0.1,42
425,2727486577,5,120,10,0.05,0.1,42
426,3488095451,6,120,10,0.05,0.1,42
427,2052528282,4,120,10,0.05,0.1,42
428,243380613,4,120,10,0.05,0.1,42
429,3269956996,4,120,10,0.05,0.1,42
430,3485613745,3,120,10,0.05,0.1,42
431,2600322576,6,120,10,0.05,0.1,42
432,1213773868,3,120,10,0.05,0.1,42
433,4201437071,5,120,10,0.05,0.1,42
434,3074106696,6,120,10,0.05,0.1,42
435,1138764077,3,120,10,0.05,0.1,42
436,2136816313,2,120,10,0.05,0.1,42
437,4071549133,6,120,10,0.05,0.1,42
438,3627236864,6,120,10,0.05,0.1,42
439,265283362,8,120,10,0.05,0.1,42
440,1654605771,5,120,10,0.05,0.1,42
441,1249548953,7,120,10,0.05,0.1,42
442,4121924252,6,120,10,0.05,0.1,42
443,3589385916,7,120,10,0.05,0.1,42
444,1567633076,7,120,10,0.05,0.1,42
445,2591312663,5,120,10,0.05,0.1,42
446,1035079617,7,120,10,0.05,0.1,42
447,2330807168,4,120,10,0.05,0.1,42
448,4075551711,7,120,10,0.05,0.1,42
449,516446507,6,120,10,0.05,0.1,42
450,3655391379,4,120,10,0.05,0.1,42
451,3782338108,4,120,10,0.05,0.1,42
452,1999757973,6,120,10,0.05,0.1,42
453,3823373191,5,120,10,0.05,0.1,42
454,3112042062,6,120,10,0.05,0.1,42
455,4157701820,4,120,10,0.05,0.1,42
456,2174814389,3,120,10,0.05,0.1,42
457,2133524936,6,120,10,0.05,0.1,42
458,4132233343,6,120,10,0.05,0.1,42
459,1721979246,3,120,10,0.05,0.1,42
460,1572965957,4,120,10,0.05,0.1,42
461,3919495933,7,120,10,0.05,0.1,42
462,3197903087,5,120,10,0.05,0.1,42
463,312284016,5,120,10,0.05,0.1,42
464,2086846614,6,120,10,0.05,0.1,42
465,3684571773,5,120,10,0.05,0.1,42
466,1354122693,6,120,10,0.05,0.1,42
467,3511185029,3,120,10,0.05,0.1,42
468,1550898708,4,120,10,0.05,0.1,42
469,2778052598,3,120,10,0.05,0.1,42
470,1232435782,3,120,10,0.05,0.1,42
471,610168243,4,120,10,0.05,0.1,42
472,2956265953,9,120,10,0.05,0.1,42
473,402607900,4,120,10,0.05,0.1,42
474,4196159535,6,120,10,0.05,0.1,42
475,2954240091,4,120,10,0.05,0.1,42
476,1126574946,4,120,10,0.05,0.1,42
477,3553454766,3,120,10,0.05,0.1,42
478,3879498319,5,120,10,0.05,0.1,42
479,1012177465,9,120,10,0.05,0.1,42
480,282846575,5,120,10,0.05,0.1,42
481,1203075158,6,120,10,0.05,0.1,42
482,1515328545,7,120,10,0.05,0.1,42
